condition,kind,split,nll,delta_nll,ci95_low,ci95_high
hq8-unchanged,reference,discovery,4.247703451098817,0.0,0.0,0.0
hq8-unchanged,reference,confirmation,4.13635570306116,0.0,0.0,0.0
remove-local-g0,single-local,discovery,4.249866225502708,0.002162774403890566,0.0017524138907901944,0.0025666633853688833
remove-local-g0,single-local,confirmation,4.138472423758558,0.002116720697397767,0.0017764920834451915,0.002469925780314952
remove-global-g0,single-global,discovery,4.302801751670949,0.05509830057213172,0.05334187769331038,0.0569240270764567
remove-global-g0,single-global,confirmation,4.189881172347977,0.05352546928681701,0.05188918571220711,0.05521090108668431
remove-group-g0,whole-group,discovery,4.313714833786294,0.06601138268747686,0.06400369458133355,0.06797143229050562
remove-group-g0,whole-group,confirmation,4.201203310361472,0.0648476073003117,0.06299648393178359,0.06672295661410317
remove-local-g1,single-local,discovery,4.2539596394476415,0.006256188348824132,0.005652061442378909,0.006854823743924498
remove-local-g1,single-local,confirmation,4.143323812549998,0.006968109488837193,0.00647630135063082,0.007455402577761561
remove-global-g1,single-global,discovery,4.280140644644013,0.0324371935451957,0.03119378489209339,0.03371599375968799
remove-global-g1,single-global,confirmation,4.1682406189621135,0.031884915900953104,0.03075009472668171,0.03305198844755068
remove-group-g1,whole-group,discovery,4.301693873438085,0.05399042233926732,0.052326105837710205,0.055736885662190615
remove-group-g1,whole-group,confirmation,4.190894628899538,0.054538925838377494,0.05300938572036103,0.05604997816262767
remove-local-g2,single-local,discovery,4.254770287320761,0.007066836221943262,0.0065730100846849385,0.0075694635743275285
remove-local-g2,single-local,confirmation,4.1435327268882,0.0071770238270394415,0.006733569269999862,0.007617829937953502
remove-global-g2,single-global,discovery,4.303563192559594,0.05585974146077621,0.054372430790681395,0.05734369497513399
remove-global-g2,single-global,confirmation,4.190196198102666,0.053840495041505676,0.05231057244818658,0.05534486196702346
remove-group-g2,whole-group,discovery,4.315590789474234,0.06788733837541638,0.06617312841117381,0.0696752626565285
remove-group-g2,whole-group,confirmation,4.20195211436625,0.06559641130508975,0.06390074274968356,0.06732872795546427
remove-local-g3,single-local,discovery,4.250555468677659,0.002852017578841348,0.0024875153903849423,0.00323427589610219
remove-local-g3,single-local,confirmation,4.138891084452878,0.002535381391717273,0.0021806939388625325,0.002879013936035335
remove-global-g3,single-global,discovery,4.2715474550092445,0.02384400391042707,0.022937665728386493,0.024726651492528617
remove-global-g3,single-global,confirmation,4.157853250978979,0.02149754791781877,0.020591571589466184,0.022406748391222208
remove-group-g3,whole-group,discovery,4.279695371961547,0.03199192086272973,0.03089861290063709,0.033114852686412635
remove-group-g3,whole-group,confirmation,4.165388578077448,0.029032875016287818,0.02797765041468665,0.030132512899581344
remove-local-g4,single-local,discovery,4.261248852850056,0.013545401751238195,0.012485318537801503,0.014671371458098293
remove-local-g4,single-local,confirmation,4.148300857021895,0.0119451539607347,0.011090590024832637,0.012863043730612844
remove-global-g4,single-global,discovery,4.3053029881661,0.057599537067282824,0.05507647538324818,0.060244535212405026
remove-global-g4,single-global,confirmation,4.186604525919417,0.050248822858256936,0.048157078551594165,0.05240950089646503
remove-group-g4,whole-group,discovery,4.31088442909636,0.06318097799754252,0.06085134660825133,0.06565240047639236
remove-group-g4,whole-group,confirmation,4.193000665274999,0.056644962213838745,0.05459082366432995,0.058728505345061424
remove-local-g5,single-local,discovery,4.255441115631968,0.007737664533150834,0.007007977541070432,0.008449123206082732
remove-local-g5,single-local,confirmation,4.144039513894656,0.0076838108334955635,0.007168742036446929,0.008214736112859099
remove-global-g5,single-global,discovery,4.310380879268851,0.06267742817003352,0.05916467366041615,0.06658463478088379
remove-global-g5,single-global,confirmation,4.189821879535127,0.05346617647396634,0.05088839514646679,0.05625952145783231
remove-group-g5,whole-group,discovery,4.324546645230678,0.07684319413186103,0.074244704679586,0.07963406970957294
remove-group-g5,whole-group,confirmation,4.208447936459837,0.07209223339867687,0.06953062281245366,0.07479333105729893
remove-local-g6,single-local,discovery,4.255606821904784,0.007903370805966148,0.006980305619072169,0.00878818437922746
remove-local-g6,single-local,confirmation,4.143697356898064,0.007341653836903994,0.006643830309621989,0.008061601815279573
remove-global-g6,single-global,discovery,4.314352321717979,0.06664887061916147,0.06295442343689502,0.0707447751890868
remove-global-g6,single-global,confirmation,4.1915598344476575,0.055204131386497046,0.05321834849892184,0.05726447835331783
remove-group-g6,whole-group,discovery,4.322598320764297,0.07489486966547965,0.07151366339530796,0.07846230325521901
remove-group-g6,whole-group,confirmation,4.201656719573199,0.06530101651203868,0.06271474211243913,0.06790872606215999
remove-local-g7,single-local,discovery,4.25111551228856,0.003412061189743021,0.0029864821000955997,0.0038550066179595887
remove-local-g7,single-local,confirmation,4.139416505863939,0.0030608028027785394,0.002665762882679701,0.0034546333481557667
remove-global-g7,single-global,discovery,4.313039358759905,0.06533590766108777,0.06363657849142328,0.06710610552690924
remove-global-g7,single-global,confirmation,4.198605444191255,0.06224974113009463,0.06056986467447132,0.06389440490165725
remove-group-g7,whole-group,discovery,4.316981689904326,0.06927823880550843,0.06746600447222591,0.07118562707910314
remove-group-g7,whole-group,confirmation,4.203421177402619,0.06706547434145893,0.06530022827209905,0.06886285783257336
