condition,kind,split,nll,delta_nll,ci95_low,ci95_high
misalign-g0-from-c1,single-local-misalignment,discovery,4.250566241561725,0.002862790462907938,0.002579686767421663,0.0031517622177489103
misalign-g0-from-c1,single-local-misalignment,confirmation,4.1389955691228515,0.0026398660616910874,0.002388932928442955,0.0028991175233386455
misalign-g0-from-c2,single-local-misalignment,discovery,4.250149160536154,0.002445709437336241,0.0021695779054425658,0.0027231091749854385
misalign-g0-from-c2,single-local-misalignment,confirmation,4.138485019158058,0.0021293160968980374,0.0018751368159428238,0.0023901718552224336
misalign-g0-from-c3,single-local-misalignment,discovery,4.250603718258885,0.0029002671600677488,0.002616041793953627,0.0031904538976959885
misalign-g0-from-c3,single-local-misalignment,confirmation,4.1389330918022145,0.0025773887410540652,0.002302153687924147,0.0028492798446677625
misalign-g0-from-c4,single-local-misalignment,discovery,4.250495266005441,0.00279181490662328,0.0025121268816292288,0.0030753546743653715
misalign-g0-from-c4,single-local-misalignment,confirmation,4.138915430648819,0.0025597275876583225,0.0022964581148698926,0.0028249506256543097
misalign-g0-from-c5,single-local-misalignment,discovery,4.25002439933322,0.002320948234402209,0.002060731267556548,0.0025853415252640845
misalign-g0-from-c5,single-local-misalignment,confirmation,4.1386123822231795,0.002256679162019104,0.0020064431009814143,0.0025044567068107427
misalign-g0-from-c6,single-local-misalignment,discovery,4.250368495374365,0.002665044275547146,0.002414042956661433,0.002924271347001195
misalign-g0-from-c6,single-local-misalignment,confirmation,4.1388273621351255,0.0024716590739650712,0.0022121362737379966,0.002729571796953678
misalign-g0-from-c7,single-local-misalignment,discovery,4.250316159349966,0.0026127082511484545,0.0023159789852797985,0.0029170122114010153
misalign-g0-from-c7,single-local-misalignment,confirmation,4.138824261994422,0.0024685589332618108,0.0021999588469043376,0.00274037899216637
misalign-g1-from-c0,single-local-misalignment,discovery,4.255741207014664,0.008037755915846212,0.0075904412311501804,0.008475842943880707
misalign-g1-from-c0,single-local-misalignment,confirmation,4.144749682436707,0.008393979375546756,0.007957022823393344,0.008829909388441592
misalign-g1-from-c2,single-local-misalignment,discovery,4.255539283957533,0.007835832858715364,0.007422111311461777,0.008254048426169901
misalign-g1-from-c2,single-local-misalignment,confirmation,4.14447696141367,0.008121258352509209,0.007702508405782282,0.00853569459868595
misalign-g1-from-c3,single-local-misalignment,discovery,4.255272979027831,0.007569527929013553,0.007159768522251397,0.007978614792227745
misalign-g1-from-c3,single-local-misalignment,confirmation,4.144213451318377,0.007857748257216635,0.007453804125543684,0.008275267062708735
misalign-g1-from-c4,single-local-misalignment,discovery,4.255113069379551,0.007409618280733277,0.007013407850172371,0.007811326766386628
misalign-g1-from-c4,single-local-misalignment,confirmation,4.143953006871168,0.007597303810007894,0.007183474535122514,0.008015996508765966
misalign-g1-from-c5,single-local-misalignment,discovery,4.2549742002291415,0.007270749130324106,0.006871150259394198,0.0076698300428688524
misalign-g1-from-c5,single-local-misalignment,confirmation,4.144193081096004,0.007837378034843745,0.007405844097957015,0.00827519545564428
misalign-g1-from-c6,single-local-misalignment,discovery,4.255005204898987,0.007301753800169841,0.006915214343462139,0.007699532888364047
misalign-g1-from-c6,single-local-misalignment,confirmation,4.144249905822098,0.007894202760937219,0.007487598771695048,0.008304680709261446
misalign-g1-from-c7,single-local-misalignment,discovery,4.2555474945993135,0.007844043500496056,0.007420335884671658,0.008276019676122815
misalign-g1-from-c7,single-local-misalignment,confirmation,4.144739696823374,0.008383993762213215,0.007954973145388067,0.008802025171462446
misalign-g2-from-c0,single-local-misalignment,discovery,4.253724092612169,0.006020641513351244,0.005595415434800089,0.00644759468268603
misalign-g2-from-c0,single-local-misalignment,confirmation,4.14250555346089,0.006149850399729928,0.005765961296856403,0.006523600150831044
misalign-g2-from-c1,single-local-misalignment,discovery,4.253911573516309,0.006208122417491246,0.005808736197650433,0.006601324933581054
misalign-g2-from-c1,single-local-misalignment,confirmation,4.1427276160127375,0.00637191295157713,0.006017489964142442,0.006725841003935784
misalign-g2-from-c3,single-local-misalignment,discovery,4.253638584942412,0.0059351338435948975,0.005527085007634014,0.006346554576884955
misalign-g2-from-c3,single-local-misalignment,confirmation,4.14229433650728,0.005938633446120001,0.005568068032152951,0.006307185185141862
misalign-g2-from-c4,single-local-misalignment,discovery,4.253667318226655,0.005963867127837474,0.005560699210036546,0.006362566305324435
misalign-g2-from-c4,single-local-misalignment,confirmation,4.142324770650556,0.005969067589395749,0.0056188467657193545,0.0063180452329106625
misalign-g2-from-c5,single-local-misalignment,discovery,4.253727111648605,0.006023660549787202,0.005616379273124039,0.00644024102948606
misalign-g2-from-c5,single-local-misalignment,confirmation,4.142333117398349,0.005977414337188236,0.005612647614907473,0.006349456496536732
misalign-g2-from-c6,single-local-misalignment,discovery,4.254016612398776,0.006313161299958736,0.005902819952461868,0.006721814046613872
misalign-g2-from-c6,single-local-misalignment,confirmation,4.14250808354114,0.006152380479979236,0.00581481633707881,0.006492297677323222
misalign-g2-from-c7,single-local-misalignment,discovery,4.253878131057277,0.006174679958459883,0.005759549629874528,0.006581797357648611
misalign-g2-from-c7,single-local-misalignment,confirmation,4.142444037272433,0.006088334211272972,0.00573673895560205,0.006439771119039505
misalign-g3-from-c0,single-local-misalignment,discovery,4.251156200062145,0.0034527489633271458,0.0031876772176474334,0.0037140825297683477
misalign-g3-from-c0,single-local-misalignment,confirmation,4.139665837628168,0.003310134567007239,0.003037378494627774,0.00358853085199371
misalign-g3-from-c1,single-local-misalignment,discovery,4.251134231060248,0.0034307799614303747,0.0031463149352930486,0.0037117170053534206
misalign-g3-from-c1,single-local-misalignment,confirmation,4.139590149634278,0.0032344465731179994,0.002960597479250282,0.0035110058612190186
misalign-g3-from-c2,single-local-misalignment,discovery,4.2509735117676435,0.003270060668826069,0.0029956154990941285,0.00354751885170117
misalign-g3-from-c2,single-local-misalignment,confirmation,4.1394422853680535,0.003086582306893071,0.0028001007973216473,0.0033742111059837042
misalign-g3-from-c4,single-local-misalignment,discovery,4.250859303907915,0.0031558528090975813,0.0028922770172357557,0.0034223131369799376
misalign-g3-from-c4,single-local-misalignment,confirmation,4.139262344364081,0.0029066413029203986,0.002630531555041671,0.0031832142965868113
misalign-g3-from-c5,single-local-misalignment,discovery,4.251140101797303,0.003436650698485977,0.003161698498297483,0.003718473180197179
misalign-g3-from-c5,single-local-misalignment,confirmation,4.139588523353883,0.003232820292722316,0.0029493623063899578,0.003518558701034635
misalign-g3-from-c6,single-local-misalignment,discovery,4.250869288589016,0.0031658374901981645,0.002906131884083152,0.0034353784983977673
misalign-g3-from-c6,single-local-misalignment,confirmation,4.139268032849593,0.0029123297884323662,0.002626226923894137,0.0031902713468298315
misalign-g3-from-c7,single-local-misalignment,discovery,4.251293295173235,0.0035898440744173143,0.003318090527318418,0.003870499145705253
misalign-g3-from-c7,single-local-misalignment,confirmation,4.139814367974841,0.0034586649136807424,0.00315873094368726,0.0037545486120507117
misalign-g4-from-c0,single-local-misalignment,discovery,4.261330858586704,0.0136274074878866,0.012563844199758024,0.0147179423016496
misalign-g4-from-c0,single-local-misalignment,confirmation,4.148309003805718,0.01195330074455736,0.011140103894285857,0.012807244947180153
misalign-g4-from-c1,single-local-misalignment,discovery,4.26161560867772,0.013912157578902296,0.012828327424358577,0.015047830436378718
misalign-g4-from-c1,single-local-misalignment,confirmation,4.148370082310801,0.012014379249640328,0.011181965668220073,0.012883744738064706
misalign-g4-from-c2,single-local-misalignment,discovery,4.261643654440156,0.013940203341338275,0.012861275149043649,0.015064796025399119
misalign-g4-from-c2,single-local-misalignment,confirmation,4.148484264068007,0.012128561006846894,0.011309862171765417,0.012991216883528977
misalign-g4-from-c3,single-local-misalignment,discovery,4.261902587737739,0.01419913663892114,0.013021868979558348,0.01545527601847425
misalign-g4-from-c3,single-local-misalignment,confirmation,4.14828774330087,0.011932040239709174,0.011094583559315651,0.012808148388285189
misalign-g4-from-c5,single-local-misalignment,discovery,4.262302260711163,0.014598809612345498,0.013412460731342436,0.01585204191505909
misalign-g4-from-c5,single-local-misalignment,confirmation,4.148671723064672,0.012316020003511952,0.011459364544134588,0.013206108030863105
misalign-g4-from-c6,single-local-misalignment,discovery,4.2626201330391895,0.0149166819403721,0.013769996352493763,0.016156958823557943
misalign-g4-from-c6,single-local-misalignment,confirmation,4.148903053876592,0.012547350815431457,0.01166811257135123,0.013462858169805258
misalign-g4-from-c7,single-local-misalignment,discovery,4.2606202155380775,0.012916764439260042,0.011909700080286712,0.013974870298989117
misalign-g4-from-c7,single-local-misalignment,confirmation,4.147508392352629,0.011152689291468398,0.010358699725475162,0.011975756951142101
misalign-g5-from-c0,single-local-misalignment,discovery,4.25416048530959,0.00645703421077215,0.005993087100796402,0.006929090106859803
misalign-g5-from-c0,single-local-misalignment,confirmation,4.143152839160968,0.006797136099807588,0.0063622442656196656,0.007243344094604254
misalign-g5-from-c1,single-local-misalignment,discovery,4.2544580703839765,0.00675461928515908,0.006297113641630858,0.007206731778569519
misalign-g5-from-c1,single-local-misalignment,confirmation,4.143764320589813,0.007408617528652961,0.006973182340152562,0.007847198157105596
misalign-g5-from-c2,single-local-misalignment,discovery,4.254098523979896,0.006395072881078434,0.0059458008268848065,0.006852969317696988
misalign-g5-from-c2,single-local-misalignment,confirmation,4.14286241783075,0.006506714769589195,0.006063821341376752,0.0069398171617649496
misalign-g5-from-c3,single-local-misalignment,discovery,4.254235733289523,0.006532282190705452,0.0060557142132893205,0.007026003859937191
misalign-g5-from-c3,single-local-misalignment,confirmation,4.143582104005189,0.007226400944028377,0.006776752951554954,0.007676537509541959
misalign-g5-from-c4,single-local-misalignment,discovery,4.254171954571676,0.0064685034728588775,0.006045892625115812,0.006888670951593667
misalign-g5-from-c4,single-local-misalignment,confirmation,4.143136958106405,0.006781255045244627,0.006368712545372546,0.007198115205392241
misalign-g5-from-c6,single-local-misalignment,discovery,4.253855687082687,0.006152235983869936,0.005706778587773442,0.006624878058210016
misalign-g5-from-c6,single-local-misalignment,confirmation,4.143015851722784,0.006660148661623566,0.006239214877132327,0.0070956249255687
misalign-g5-from-c7,single-local-misalignment,discovery,4.2539244835444325,0.006221032445615116,0.0057555620209313926,0.006692893558647483
misalign-g5-from-c7,single-local-misalignment,confirmation,4.142718130542386,0.00636242748122573,0.0059505785582587125,0.006769561301916837
misalign-g6-from-c0,single-local-misalignment,discovery,4.249681878299657,0.0019784272008394055,0.001610951975453645,0.0023532799328677355
misalign-g6-from-c0,single-local-misalignment,confirmation,4.138424699024488,0.0020689959633273247,0.001772977306973189,0.0023687698296271263
misalign-g6-from-c1,single-local-misalignment,discovery,4.250134008953881,0.002430557855063853,0.002097851620055735,0.0027628399548120797
misalign-g6-from-c1,single-local-misalignment,confirmation,4.138548418457091,0.002192715395930911,0.001893519319128245,0.0024866812978871166
misalign-g6-from-c2,single-local-misalignment,discovery,4.250201015994462,0.0024975648956448993,0.0021262513939291237,0.002859837666619569
misalign-g6-from-c2,single-local-misalignment,confirmation,4.138463816451654,0.002108113390493216,0.0018178966594859958,0.0023916068370454014
misalign-g6-from-c3,single-local-misalignment,discovery,4.249994613557966,0.0022911624591488433,0.0019213399151340126,0.002662442217115313
misalign-g6-from-c3,single-local-misalignment,confirmation,4.1386606625680935,0.002304959506933102,0.00201450273161754,0.0026013215887360276
misalign-g6-from-c4,single-local-misalignment,discovery,4.250080703407206,0.002377252308388478,0.002038846502546221,0.00272076049586758
misalign-g6-from-c4,single-local-misalignment,confirmation,4.138507170877615,0.0021514678164544776,0.0018856728682294488,0.00242575496667996
misalign-g6-from-c5,single-local-misalignment,discovery,4.249937003425606,0.002233552326788235,0.0018926749471575022,0.002571222058031708
misalign-g6-from-c5,single-local-misalignment,confirmation,4.138393795035801,0.0020380919746409987,0.0017363184131681919,0.0023549532168544826
misalign-g6-from-c7,single-local-misalignment,discovery,4.250033135754388,0.0023296846555709294,0.0019846327020786704,0.00267947216052562
misalign-g6-from-c7,single-local-misalignment,confirmation,4.138670698988123,0.002314995926962382,0.002025607170071453,0.0025988639798015358
