split,rank,variant,nll,delta_nll_vs_h8
discovery,1,h8,4.247944095850224,0.0
discovery,2,h4,4.253231202402422,0.0052871065521982175
discovery,3,mixed-k5,4.294848879294894,0.04690478344466964
discovery,4,mixed-k4-worst,4.310977571754045,0.06303347590382113
discovery,5,mixed-k4-best,4.3315282790891585,0.08358418323893435
discovery,6,mixed-k3,4.34650929535822,0.0985651995079957
discovery,7,mixed-k2,4.3577057991326145,0.10976170328239032
discovery,8,h16,4.369026190607662,0.12108209475743781
confirmation,1,h8,4.137026795660413,0.0
confirmation,2,h4,4.137515617605528,0.0004888219451153475
confirmation,3,mixed-k5,4.179215885210829,0.04218908955041645
confirmation,4,mixed-k4-worst,4.195825980905214,0.05879918524480132
confirmation,5,mixed-k4-best,4.214439524933041,0.07741272927262788
confirmation,6,mixed-k3,4.230281015994612,0.09325422033419883
confirmation,7,mixed-k2,4.238565166674751,0.10153837101433805
confirmation,8,h16,4.248183668067611,0.11115687240719829
