relative_rank,boundary,pair,beta,all_frequency,top10_frequency,top20_frequency,top50_frequency,mean_delta_when_merged,mean_delta_when_not_merged,descriptive_not_merged_minus_merged
1,6,"(6,7)",-0.110970718105,0.258585858586,0.9,0.85,0.74,0.718761417469,0.809873595033,0.091112177564
2,5,"(5,6)",-0.08067637319,0.258585858586,0.1,0.15,0.26,0.742450152182,0.801611584016,0.059161431833
3,14,"(14,15)",-0.048759328166,0.333333333333,1.0,0.85,0.74,0.757572945811,0.800683438649,0.043110492838
4,13,"(13,14)",-0.02582745628,0.242424242424,0.0,0.15,0.22,0.777762808362,0.789049423492,0.011286615131
5,9,"(9,10)",-0.010460237875,0.258585858586,0.5,0.5,0.34,0.766110249945,0.793359560818,0.027249310872
6,2,"(2,3)",-0.009043374151,0.260606060606,0.6,0.35,0.4,0.771216717447,0.791634191974,0.020417474526
7,8,"(8,9)",0.012565834373,0.258585858586,0.2,0.25,0.24,0.791179220847,0.784616159522,-0.006563061324
8,3,"(3,4)",0.01554974339,0.258585858586,0.2,0.35,0.26,0.788968651496,0.785387148288,-0.003581503209
9,12,"(12,13)",0.019608959254,0.260606060606,0.1,0.15,0.2,0.80103813757,0.78112336357,-0.019914774
10,7,"(7,8)",0.020411593167,0.258585858586,0.0,0.0,0.04,0.819489299097,0.774742344765,-0.044746954332
11,11,"(11,12)",0.027511832245,0.258585858586,0.2,0.2,0.2,0.788495586065,0.785552141135,-0.00294344493
12,4,"(4,5)",0.043870309768,0.258585858586,0.1,0.05,0.08,0.8283150422,0.771664156435,-0.056650885765
13,0,"(0,1)",0.04457002185,0.333333333333,0.0,0.05,0.14,0.808255917884,0.775341952613,-0.032913965271
14,1,"(1,2)",0.046938516822,0.242424242424,0.0,0.0,0.04,0.811868111184,0.778135726589,-0.033732384594
15,10,"(10,11)",0.054710676897,0.258585858586,0.1,0.1,0.1,0.826245490855,0.772385961808,-0.053859529047
