predicted_rank,partition_id,predicted_score,merged_boundaries
1,0__1__2__3__4__5__6-7__8__9-10__11__12__13__14-15,-0.17019028414623785,"[6, 9, 14]"
2,0__1__2-3__4__5__6-7__8__9__10__11__12__13__14-15,-0.16877342042170168,"[2, 6, 14]"
3,0__1__2__3__4__5__6-7__8__9-10__11__12__13-14__15,-0.14725841226004896,"[6, 9, 13]"
4,0__1__2__3__4__5__6-7__8-9__10__11__12__13__14-15,-0.14716421189818665,"[6, 8, 14]"
5,0__1__2-3__4__5__6-7__8__9__10__11__12__13-14__15,-0.1458415485355128,"[2, 6, 13]"
6,0__1__2__3-4__5__6-7__8__9__10__11__12__13__14-15,-0.14418030288085332,"[3, 6, 14]"
7,0__1__2__3__4__5__6-7__8__9__10__11__12-13__14-15,-0.14012108701654166,"[6, 12, 14]"
8,0__1__2__3__4__5-6__7__8__9-10__11__12__13__14-15,-0.1398959392308224,"[5, 9, 14]"
9,0__1__2-3__4__5-6__7__8__9__10__11__12__13__14-15,-0.13847907550628624,"[2, 5, 14]"
10,0__1__2__3__4__5__6-7__8__9__10__11-12__13__14-15,-0.13221821402538797,"[6, 11, 14]"
11,0__1__2-3__4__5__6-7__8__9-10__11__12__13__14__15,-0.1304743301313565,"[2, 6, 9]"
12,0__1__2__3__4__5__6-7__8-9__10__11__12__13-14__15,-0.12423234001199776,"[6, 8, 13]"
13,0__1__2__3-4__5__6-7__8__9__10__11__12__13-14__15,-0.12124843099466442,"[3, 6, 13]"
14,0__1__2__3__4__5-6__7__8__9-10__11__12__13-14__15,-0.11696406734463352,"[5, 9, 13]"
15,0__1__2__3__4__5-6__7__8-9__10__11__12__13__14-15,-0.11686986698277121,"[5, 8, 14]"
16,0__1__2__3__4-5__6-7__8__9__10__11__12__13__14-15,-0.11585973650330439,"[4, 6, 14]"
17,0__1__2-3__4__5-6__7__8__9__10__11__12__13-14__15,-0.11554720362009735,"[2, 5, 13]"
18,0-1__2__3__4__5__6-7__8__9__10__11__12__13__14-15,-0.11516002442041881,"[0, 6, 14]"
19,0__1__2__3-4__5-6__7__8__9__10__11__12__13__14-15,-0.1138859579654379,"[3, 5, 14]"
20,0__1-2__3__4__5__6-7__8__9__10__11__12__13__14-15,-0.11279152944875165,"[1, 6, 14]"
21,0__1__2__3__4__5-6__7__8__9__10__11__12-13__14-15,-0.10982674210112625,"[5, 12, 14]"
22,0__1__2__3__4__5__6-7__8__9__10__11-12__13-14__15,-0.10928634213919908,"[6, 11, 13]"
23,0__1__2__3__4__5-6__7-8__9__10__11__12__13__14-15,-0.10902410818815236,"[5, 7, 14]"
24,0__1__2-3__4__5__6-7__8-9__10__11__12__13__14__15,-0.10744825788330531,"[2, 6, 8]"
25,0__1__2__3-4__5__6-7__8__9-10__11__12__13__14__15,-0.10588121259050816,"[3, 6, 9]"
26,0__1__2__3__4__5__6-7__8__9__10-11__12__13__14-15,-0.10501936937391904,"[6, 10, 14]"
27,0__1__2__3__4__5-6__7__8__9__10__11-12__13__14-15,-0.10192386910997253,"[5, 11, 14]"
28,0__1__2__3__4__5__6-7__8__9-10__11__12-13__14__15,-0.1018219967261965,"[6, 9, 12]"
29,0__1__2-3__4__5__6-7__8__9__10__11__12-13__14__15,-0.10040513300166033,"[2, 6, 12]"
30,0__1__2-3__4__5-6__7__8__9-10__11__12__13__14__15,-0.10017998521594108,"[2, 5, 9]"
31,0__1__2__3__4__5-6__7__8-9__10__11__12__13-14__15,-0.09393799509658232,"[5, 8, 13]"
32,0__1__2__3__4__5__6-7__8__9-10__11-12__13__14__15,-0.0939191237350428,"[6, 9, 11]"
33,0__1__2__3__4-5__6-7__8__9__10__11__12__13-14__15,-0.0929278646171155,"[4, 6, 13]"
34,0__1__2-3__4__5__6-7__8__9__10__11-12__13__14__15,-0.09250226001050663,"[2, 6, 11]"
35,0-1__2__3__4__5__6-7__8__9__10__11__12__13-14__15,-0.09222815253422992,"[0, 6, 13]"
36,0__1__2__3-4__5-6__7__8__9__10__11__12__13-14__15,-0.09095408607924901,"[3, 5, 13]"
37,0__1-2__3__4__5__6-7__8__9__10__11__12__13-14__15,-0.08985965756256276,"[1, 6, 13]"
38,0__1__2__3__4__5-6__7-8__9__10__11__12__13-14__15,-0.08609223630196347,"[5, 7, 13]"
39,0-1__2__3__4__5-6__7__8__9__10__11__12__13__14-15,-0.08486567950500339,"[0, 5, 14]"
40,0__1__2__3-4__5__6-7__8-9__10__11__12__13__14__15,-0.08285514034245696,"[3, 6, 8]"
41,0__1-2__3__4__5-6__7__8__9__10__11__12__13__14-15,-0.08249718453333621,"[1, 5, 14]"
42,0__1__2__3__4__5__6-7__8__9__10-11__12__13-14__15,-0.08208749748773014,"[6, 10, 13]"
43,0__1__2__3__4__5-6__7__8__9__10__11-12__13-14__15,-0.07899199722378364,"[5, 11, 13]"
44,0__1__2__3__4__5__6-7__8-9__10__11__12-13__14__15,-0.0787959244781453,"[6, 8, 12]"
45,0__1__2__3__4-5__6-7__8__9-10__11__12__13__14__15,-0.07756064621295922,"[4, 6, 9]"
46,0__1__2-3__4__5-6__7__8-9__10__11__12__13__14__15,-0.07715391296788988,"[2, 5, 8]"
47,0-1__2__3__4__5__6-7__8__9-10__11__12__13__14__15,-0.07686093413007364,"[0, 6, 9]"
48,0__1__2-3__4-5__6-7__8__9__10__11__12__13__14__15,-0.07614378248842306,"[2, 4, 6]"
49,0__1__2__3-4__5__6-7__8__9__10__11__12-13__14__15,-0.07581201546081198,"[3, 6, 12]"
50,0__1__2__3-4__5-6__7__8__9-10__11__12__13__14__15,-0.07558686767509273,"[3, 5, 9]"
51,0-1__2-3__4__5__6-7__8__9__10__11__12__13__14__15,-0.07544407040553748,"[0, 2, 6]"
52,0__1__2__3__4__5-6__7__8__9__10-11__12__13__14-15,-0.07472502445850361,"[5, 10, 14]"
53,0__1-2__3__4__5__6-7__8__9-10__11__12__13__14__15,-0.07449243915840648,"[1, 6, 9]"
54,0__1__2__3__4__5-6__7__8__9-10__11__12-13__14__15,-0.07152765181078108,"[5, 9, 12]"
55,0__1__2__3__4__5__6-7__8-9__10__11-12__13__14__15,-0.0708930514869916,"[6, 8, 11]"
56,0__1__2__3__4__5-6__7-8__9-10__11__12__13__14__15,-0.07072501789780719,"[5, 7, 9]"
57,0__1__2-3__4__5-6__7__8__9__10__11__12-13__14__15,-0.07011078808624491,"[2, 5, 12]"
58,0__1__2-3__4__5-6__7-8__9__10__11__12__13__14__15,-0.06930815417327102,"[2, 5, 7]"
59,0__1__2-3__4__5__6__7__8__9-10__11__12__13__14-15,-0.06826294019210039,"[2, 9, 14]"
60,0__1__2__3-4__5__6-7__8__9__10__11-12__13__14__15,-0.06790914246965826,"[3, 6, 11]"
61,0__1__2-3__4__5__6-7__8__9__10-11__12__13__14__15,-0.06530341535903769,"[2, 6, 10]"
62,0__1__2__3__4__5-6__7__8__9-10__11-12__13__14__15,-0.06362477881962736,"[5, 9, 11]"
63,0__1__2-3__4__5-6__7__8__9__10__11-12__13__14__15,-0.062207915095091194,"[2, 5, 11]"
64,0-1__2__3__4__5-6__7__8__9__10__11__12__13-14__15,-0.06193380761881449,"[0, 5, 13]"
65,0__1-2__3__4__5-6__7__8__9__10__11__12__13-14__15,-0.05956531264714732,"[1, 5, 13]"
66,0__1__2__3__4-5__6-7__8-9__10__11__12__13__14__15,-0.05453457396490802,"[4, 6, 8]"
67,0-1__2__3__4__5__6-7__8-9__10__11__12__13__14__15,-0.05383486188202244,"[0, 6, 8]"
68,0__1__2__3-4__5-6__7__8-9__10__11__12__13__14__15,-0.052560795427041535,"[3, 5, 8]"
69,0__1__2__3__4__5-6__7__8__9__10-11__12__13-14__15,-0.05179315257231472,"[5, 10, 13]"
70,0__1-2__3__4__5__6-7__8-9__10__11__12__13__14__15,-0.05146636691035528,"[1, 6, 8]"
71,0-1__2__3-4__5__6-7__8__9__10__11__12__13__14__15,-0.05085095286468912,"[0, 3, 6]"
72,0__1__2__3__4__5-6__7__8-9__10__11__12-13__14__15,-0.04850157956272988,"[5, 8, 12]"
73,0__1-2__3-4__5__6-7__8__9__10__11__12__13__14__15,-0.04848245789302194,"[1, 3, 6]"
74,0__1__2__3__4-5__6-7__8__9__10__11__12-13__14__15,-0.04749144908326304,"[4, 6, 12]"
75,0-1__2__3__4__5__6-7__8__9__10__11__12-13__14__15,-0.04679173700037746,"[0, 6, 12]"
76,0-1__2__3__4__5-6__7__8__9-10__11__12__13__14__15,-0.04656658921465821,"[0, 5, 9]"
77,0__1__2__3-4__5-6__7__8__9__10__11__12-13__14__15,-0.04551767054539656,"[3, 5, 12]"
78,0__1__2-3__4__5__6__7__8__9-10__11__12__13-14__15,-0.045331068305911486,"[2, 9, 13]"
79,0__1__2-3__4__5__6__7__8-9__10__11__12__13__14-15,-0.045236867944049186,"[2, 8, 14]"
80,0-1__2-3__4__5-6__7__8__9__10__11__12__13__14__15,-0.045149725490122056,"[0, 2, 5]"
81,0__1__2__3-4__5-6__7-8__9__10__11__12__13__14__15,-0.04471503663242267,"[3, 5, 7]"
82,0__1-2__3__4__5__6-7__8__9__10__11__12-13__14__15,-0.0444232420287103,"[1, 6, 12]"
83,0__1-2__3__4__5-6__7__8__9-10__11__12__13__14__15,-0.04419809424299104,"[1, 5, 9]"
84,0__1__2__3__4__5__6-7__8-9__10-11__12__13__14__15,-0.04369420683552267,"[6, 8, 10]"
85,0__1__2__3-4__5__6__7__8__9-10__11__12__13__14-15,-0.04366982265125202,"[3, 9, 14]"
86,0__1__2__3-4__5__6-7__8__9__10-11__12__13__14__15,-0.04071029781818935,"[3, 6, 10]"
87,0__1__2__3__4__5-6__7-8__9__10__11__12-13__14__15,-0.040655820768111015,"[5, 7, 12]"
88,0__1__2__3__4__5-6__7__8-9__10__11-12__13__14__15,-0.04059870657157617,"[5, 8, 11]"
89,0__1__2__3__4__5__6__7__8__9-10__11__12-13__14-15,-0.03961060678694037,"[9, 12, 14]"
90,0__1__2__3__4-5__6-7__8__9__10__11-12__13__14__15,-0.03958857609210933,"[4, 6, 11]"
91,0-1__2__3__4__5__6-7__8__9__10__11-12__13__14__15,-0.03888886400922375,"[0, 6, 11]"
92,0__1__2__3__4__5__6__7-8__9-10__11__12__13__14-15,-0.038807972873966486,"[7, 9, 14]"
93,0__1__2-3__4__5__6__7__8__9__10__11__12-13__14-15,-0.03819374306240421,"[2, 12, 14]"
94,0__1__2__3-4__5-6__7__8__9__10__11-12__13__14__15,-0.037614797554242844,"[3, 5, 11]"
95,0__1__2-3__4__5__6__7-8__9__10__11__12__13__14-15,-0.03739110914943032,"[2, 7, 14]"
96,0__1__2__3__4__5__6-7__8__9__10-11__12-13__14__15,-0.036651081953877694,"[6, 10, 12]"
97,0__1-2__3__4__5__6-7__8__9__10__11-12__13__14__15,-0.03652036903755659,"[1, 6, 11]"
98,0__1__2-3__4__5-6__7__8__9__10-11__12__13__14__15,-0.035009070443622274,"[2, 5, 10]"
99,0__1__2__3__4__5-6__7-8__9__10__11-12__13__14__15,-0.0327529477769573,"[5, 7, 11]"
100,0__1__2__3__4__5__6__7__8__9-10__11-12__13__14-15,-0.031707733795786654,"[9, 11, 14]"
101,0__1__2-3__4__5__6__7__8__9__10__11-12__13__14-15,-0.030290870071250493,"[2, 11, 14]"
102,0-1__2__3__4__5-6__7__8-9__10__11__12__13__14__15,-0.02354051696660702,"[0, 5, 8]"
103,0-1__2__3__4-5__6-7__8__9__10__11__12__13__14__15,-0.02253038648714019,"[0, 4, 6]"
104,0__1__2-3__4__5__6__7__8-9__10__11__12__13-14__15,-0.02230499605786029,"[2, 8, 13]"
105,0__1-2__3__4__5-6__7__8-9__10__11__12__13__14__15,-0.021172021994939845,"[1, 5, 8]"
106,0__1__2__3-4__5__6__7__8__9-10__11__12__13-14__15,-0.020737950765063125,"[3, 9, 13]"
107,0__1__2__3-4__5__6__7__8-9__10__11__12__13__14-15,-0.020643750403200822,"[3, 8, 14]"
108,0-1__2__3-4__5-6__7__8__9__10__11__12__13__14__15,-0.020556607949273692,"[0, 3, 5]"
109,0__1-2__3__4-5__6-7__8__9__10__11__12__13__14__15,-0.020161891515473013,"[1, 4, 6]"
110,0__1-2__3-4__5-6__7__8__9__10__11__12__13__14__15,-0.018188112977606516,"[1, 3, 5]"
111,0__1__2__3__4__5__6__7__8-9__10__11__12-13__14-15,-0.016584534538889174,"[8, 12, 14]"
112,0-1__2__3__4__5-6__7__8__9__10__11__12-13__14__15,-0.016497392084962044,"[0, 5, 12]"
113,0__1__2__3__4__5__6__7-8__9-10__11__12__13-14__15,-0.015876100987777593,"[7, 9, 13]"
114,0-1__2__3__4__5-6__7-8__9__10__11__12__13__14__15,-0.01569475817198816,"[0, 5, 7]"
115,0__1__2__3__4-5__6__7__8__9-10__11__12__13__14-15,-0.015349256273703087,"[4, 9, 14]"
116,0-1__2__3__4__5__6__7__8__9-10__11__12__13__14-15,-0.014649544190817508,"[0, 9, 14]"
117,0__1__2-3__4__5__6__7-8__9__10__11__12__13-14__15,-0.014459237263241428,"[2, 7, 13]"
118,0__1-2__3__4__5-6__7__8__9__10__11__12-13__14__15,-0.014128897113294868,"[1, 5, 12]"
