predicted_rank,partition_id,predicted_score,merged_boundaries
1,0__1__2-3__4-5__6-7__8__9-10__11__12-13__14-15,-0.115754389275,"[2, 4, 6, 9, 12, 14]"
2,0-1__2-3__4__5__6-7__8__9-10__11__12-13__14-15,-0.115054677192,"[0, 2, 6, 9, 12, 14]"
3,0__1__2-3__4__5-6__7-8__9-10__11__12-13__14-15,-0.10891876096,"[2, 5, 7, 9, 12, 14]"
4,0__1__2-3__4-5__6-7__8__9-10__11-12__13__14-15,-0.107851516284,"[2, 4, 6, 9, 11, 14]"
5,0-1__2-3__4__5__6-7__8__9-10__11-12__13__14-15,-0.107151804201,"[0, 2, 6, 9, 11, 14]"
6,0__1__2-3__4__5-6__7-8__9-10__11-12__13__14-15,-0.101015887969,"[2, 5, 7, 9, 11, 14]"
7,0__1__2-3__4-5__6-7__8-9__10__11__12-13__14-15,-0.092728317027,"[2, 4, 6, 8, 12, 14]"
8,0-1__2-3__4__5__6-7__8-9__10__11__12-13__14-15,-0.092028604944,"[0, 2, 6, 8, 12, 14]"
9,0-1__2-3__4-5__6-7__8__9-10__11__12__13__14-15,-0.090793326679,"[0, 2, 4, 6, 9, 14]"
10,0-1__2__3-4__5__6-7__8__9-10__11__12-13__14-15,-0.090461559652,"[0, 3, 6, 9, 12, 14]"
11,0__1-2__3-4__5__6-7__8__9-10__11__12-13__14-15,-0.08809306468,"[1, 3, 6, 9, 12, 14]"
12,0__1__2-3__4-5__6-7__8__9-10__11-12__13-14__15,-0.084919644398,"[2, 4, 6, 9, 11, 13]"
13,0__1__2-3__4-5__6-7__8-9__10__11-12__13__14-15,-0.084825444036,"[2, 4, 6, 8, 11, 14]"
14,0-1__2-3__4__5-6__7__8__9-10__11__12-13__14-15,-0.084760332277,"[0, 2, 5, 9, 12, 14]"
15,0__1__2__3-4__5-6__7-8__9-10__11__12-13__14-15,-0.084325643419,"[3, 5, 7, 9, 12, 14]"
16,0-1__2-3__4__5__6-7__8__9-10__11-12__13-14__15,-0.084219932315,"[0, 2, 6, 9, 11, 13]"
17,0-1__2-3__4__5__6-7__8-9__10__11-12__13__14-15,-0.084125731953,"[0, 2, 6, 8, 11, 14]"
18,0-1__2-3__4__5-6__7-8__9-10__11__12__13__14-15,-0.083957698364,"[0, 2, 5, 7, 9, 14]"
19,0-1__2__3-4__5__6-7__8__9-10__11-12__13__14-15,-0.08255868666,"[0, 3, 6, 9, 11, 14]"
20,0__1__2-3__4__5__6-7__8-9__10-11__12-13__14-15,-0.081887949898,"[2, 6, 8, 10, 12, 14]"
21,0__1-2__3-4__5__6-7__8__9-10__11-12__13__14-15,-0.080190191689,"[1, 3, 6, 9, 11, 14]"
22,0__1__2-3__4__5-6__7-8__9-10__11-12__13-14__15,-0.078084016083,"[2, 5, 7, 9, 11, 13]"
23,0-1__2-3__4__5-6__7__8__9-10__11-12__13__14-15,-0.076857459286,"[0, 2, 5, 9, 11, 14]"
24,0__1__2__3-4__5-6__7-8__9-10__11-12__13__14-15,-0.076422770428,"[3, 5, 7, 9, 11, 14]"
25,0-1__2-3__4-5__6-7__8__9-10__11__12__13-14__15,-0.067861454793,"[0, 2, 4, 6, 9, 13]"
26,0-1__2-3__4-5__6-7__8-9__10__11__12__13__14-15,-0.067767254431,"[0, 2, 4, 6, 8, 14]"
27,0-1__2__3-4__5__6-7__8-9__10__11__12-13__14-15,-0.067435487404,"[0, 3, 6, 8, 12, 14]"
28,0__1-2__3-4__5__6-7__8-9__10__11__12-13__14-15,-0.065066992432,"[1, 3, 6, 8, 12, 14]"
29,0-1__2__3__4-5__6-7__8__9-10__11__12-13__14-15,-0.062140993274,"[0, 4, 6, 9, 12, 14]"
30,0__1__2-3__4-5__6-7__8-9__10__11-12__13-14__15,-0.06189357215,"[2, 4, 6, 8, 11, 13]"
31,0-1__2-3__4__5-6__7__8-9__10__11__12-13__14-15,-0.061734260029,"[0, 2, 5, 8, 12, 14]"
32,0-1__2-3__4__5__6-7__8-9__10__11-12__13-14__15,-0.061193860067,"[0, 2, 6, 8, 11, 13]"
33,0-1__2-3__4__5-6__7-8__9-10__11__12__13-14__15,-0.061025826478,"[0, 2, 5, 7, 9, 13]"
34,0-1__2-3__4-5__6-7__8__9__10__11__12-13__14-15,-0.06072412955,"[0, 2, 4, 6, 12, 14]"
35,0-1__2__3-4__5-6__7__8__9-10__11__12-13__14-15,-0.060167214736,"[0, 3, 5, 9, 12, 14]"
36,0__1-2__3__4-5__6-7__8__9-10__11__12-13__14-15,-0.059772498302,"[1, 4, 6, 9, 12, 14]"
37,0-1__2__3-4__5__6-7__8__9-10__11-12__13-14__15,-0.059626814774,"[0, 3, 6, 9, 11, 13]"
38,0-1__2__3-4__5__6-7__8-9__10__11-12__13__14-15,-0.059532614412,"[0, 3, 6, 8, 11, 14]"
39,0-1__2__3-4__5-6__7-8__9-10__11__12__13__14-15,-0.059364580823,"[0, 3, 5, 7, 9, 14]"
40,0__1-2__3-4__5-6__7__8__9-10__11__12-13__14-15,-0.057798719765,"[1, 3, 5, 9, 12, 14]"
41,0__1__2-3__4-5__6-7__8-9__10-11__12__13__14-15,-0.057626599385,"[2, 4, 6, 8, 10, 14]"
42,0__1__2__3-4__5__6-7__8-9__10-11__12-13__14-15,-0.057294832357,"[3, 6, 8, 10, 12, 14]"
43,0__1-2__3-4__5__6-7__8__9-10__11-12__13-14__15,-0.057258319803,"[1, 3, 6, 9, 11, 13]"
44,0__1-2__3-4__5__6-7__8-9__10__11-12__13__14-15,-0.057164119441,"[1, 3, 6, 8, 11, 14]"
45,0__1-2__3-4__5-6__7-8__9-10__11__12__13__14-15,-0.056996085852,"[1, 3, 5, 7, 9, 14]"
46,0-1__2-3__4__5__6-7__8-9__10-11__12__13__14-15,-0.056926887302,"[0, 2, 6, 8, 10, 14]"
47,0-1__2__3__4__5-6__7-8__9-10__11__12-13__14-15,-0.055305364959,"[0, 5, 7, 9, 12, 14]"
48,0-1__2__3__4-5__6-7__8__9-10__11-12__13__14-15,-0.054238120283,"[0, 4, 6, 9, 11, 14]"
49,0-1__2-3__4__5-6__7__8__9-10__11-12__13-14__15,-0.0539255874,"[0, 2, 5, 9, 11, 13]"
50,0-1__2-3__4__5-6__7-8__9__10__11__12-13__14-15,-0.053888501234,"[0, 2, 5, 7, 12, 14]"
51,0-1__2-3__4__5-6__7__8-9__10__11-12__13__14-15,-0.053831387038,"[0, 2, 5, 8, 11, 14]"
52,0__1__2__3-4__5-6__7-8__9-10__11-12__13-14__15,-0.053490898542,"[3, 5, 7, 9, 11, 13]"
53,0__1-2__3__4__5-6__7-8__9-10__11__12-13__14-15,-0.052936869987,"[1, 5, 7, 9, 12, 14]"
54,0-1__2-3__4-5__6-7__8__9__10__11-12__13__14-15,-0.052821256558,"[0, 2, 4, 6, 11, 14]"
55,0-1__2__3-4__5-6__7__8__9-10__11-12__13__14-15,-0.052264341745,"[0, 3, 5, 9, 11, 14]"
56,0__1-2__3__4-5__6-7__8__9-10__11-12__13__14-15,-0.051869625311,"[1, 4, 6, 9, 11, 14]"
57,0__1__2-3__4__5-6__7__8-9__10-11__12-13__14-15,-0.051593604983,"[2, 5, 8, 10, 12, 14]"
58,0__1__2-3__4-5__6-7__8__9__10-11__12-13__14-15,-0.050583474503,"[2, 4, 6, 10, 12, 14]"
59,0__1-2__3-4__5-6__7__8__9-10__11-12__13__14-15,-0.049895846773,"[1, 3, 5, 9, 11, 14]"
60,0-1__2-3__4__5__6-7__8__9__10-11__12-13__14-15,-0.04988376242,"[0, 2, 6, 10, 12, 14]"
61,0-1__2__3__4__5-6__7-8__9-10__11-12__13__14-15,-0.047402491968,"[0, 5, 7, 9, 11, 14]"
62,0-1__2-3__4__5-6__7-8__9__10__11-12__13__14-15,-0.045985628243,"[0, 2, 5, 7, 11, 14]"
63,0__1-2__3__4__5-6__7-8__9-10__11-12__13__14-15,-0.045033996996,"[1, 5, 7, 9, 11, 14]"
64,0-1__2-3__4-5__6-7__8-9__10__11__12__13-14__15,-0.044835382545,"[0, 2, 4, 6, 8, 13]"
65,0__1__2-3__4__5-6__7-8__9__10-11__12-13__14-15,-0.043747846188,"[2, 5, 7, 10, 12, 14]"
66,0-1__2__3__4-5__6-7__8-9__10__11__12-13__14-15,-0.039114921026,"[0, 4, 6, 8, 12, 14]"
67,0-1__2__3-4__5-6__7__8-9__10__11__12-13__14-15,-0.037141142488,"[0, 3, 5, 8, 12, 14]"
68,0__1-2__3__4-5__6-7__8-9__10__11__12-13__14-15,-0.036746426054,"[1, 4, 6, 8, 12, 14]"
69,0-1__2__3-4__5__6-7__8-9__10__11-12__13-14__15,-0.036600742526,"[0, 3, 6, 8, 11, 13]"
70,0-1__2__3-4__5-6__7-8__9-10__11__12__13-14__15,-0.036432708937,"[0, 3, 5, 7, 9, 13]"
71,0__1-2__3-4__5-6__7__8-9__10__11__12-13__14-15,-0.034772647516,"[1, 3, 5, 8, 12, 14]"
72,0__1__2-3__4-5__6-7__8-9__10-11__12__13-14__15,-0.034694727499,"[2, 4, 6, 8, 10, 13]"
73,0__1-2__3-4__5__6-7__8-9__10__11-12__13-14__15,-0.034232247555,"[1, 3, 6, 8, 11, 13]"
74,0__1-2__3-4__5-6__7-8__9-10__11__12__13-14__15,-0.034064213965,"[1, 3, 5, 7, 9, 13]"
75,0-1__2-3__4__5__6-7__8-9__10-11__12__13-14__15,-0.033995015416,"[0, 2, 6, 8, 10, 13]"
76,0-1__2__3-4__5__6-7__8-9__10-11__12__13__14-15,-0.032333769761,"[0, 3, 6, 8, 10, 14]"
77,0-1__2__3__4-5__6-7__8__9-10__11-12__13-14__15,-0.031306248397,"[0, 4, 6, 9, 11, 13]"
78,0-1__2__3__4-5__6-7__8-9__10__11-12__13__14-15,-0.031212048035,"[0, 4, 6, 8, 11, 14]"
79,0-1__2-3__4__5-6__7__8-9__10__11-12__13-14__15,-0.030899515152,"[0, 2, 5, 8, 11, 13]"
80,0__1-2__3-4__5__6-7__8-9__10-11__12__13__14-15,-0.029965274789,"[1, 3, 6, 8, 10, 14]"
81,0-1__2-3__4-5__6-7__8__9__10__11-12__13-14__15,-0.029889384672,"[0, 2, 4, 6, 11, 13]"
82,0-1__2__3-4__5-6__7__8__9-10__11-12__13-14__15,-0.029332469859,"[0, 3, 5, 9, 11, 13]"
83,0-1__2__3-4__5-6__7-8__9__10__11__12-13__14-15,-0.029295383694,"[0, 3, 5, 7, 12, 14]"
84,0-1__2__3-4__5-6__7__8-9__10__11-12__13__14-15,-0.029238269497,"[0, 3, 5, 8, 11, 14]"
85,0__1__2__3__4-5__6-7__8-9__10-11__12-13__14-15,-0.02897426598,"[4, 6, 8, 10, 12, 14]"
86,0__1-2__3__4-5__6-7__8__9-10__11-12__13-14__15,-0.028937753425,"[1, 4, 6, 9, 11, 13]"
87,0__1-2__3__4-5__6-7__8-9__10__11-12__13__14-15,-0.028843553063,"[1, 4, 6, 8, 11, 14]"
88,0-1__2__3__4__5__6-7__8-9__10-11__12-13__14-15,-0.028274553897,"[0, 6, 8, 10, 12, 14]"
89,0__1__2__3-4__5-6__7__8-9__10-11__12-13__14-15,-0.027000487442,"[3, 5, 8, 10, 12, 14]"
90,0__1-2__3-4__5-6__7__8__9-10__11-12__13-14__15,-0.026963974887,"[1, 3, 5, 9, 11, 13]"
91,0__1-2__3-4__5-6__7-8__9__10__11__12-13__14-15,-0.026926888722,"[1, 3, 5, 7, 12, 14]"
92,0__1-2__3-4__5-6__7__8-9__10__11-12__13__14-15,-0.026869774525,"[1, 3, 5, 8, 11, 14]"
93,0-1__2-3__4__5-6__7__8-9__10-11__12__13__14-15,-0.026632542386,"[0, 2, 5, 8, 10, 14]"
