k,partition_id,roles,predicted_rank,predicted_score,actual_nll,actual_delta_nll,merged_boundaries
1,0__1__2__3__4__5__6-7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],1,-0.110970718105,4.3037794002223455,0.05679866785178067,[6]
1,0__1__2__3__4__5-6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],2,-0.08067637319,4.307467332450292,0.06048660007972728,[5]
1,0__1__2__3__4__5__6__7__8__9__10__11__12__13__14-15,['exhaustive_transfer'],3,-0.048759328166,4.296553630866147,0.04957289849558233,[14]
1,0__1__2__3__4__5__6__7__8__9__10__11__12__13-14__15,['exhaustive_transfer'],4,-0.02582745628,4.305526440211172,0.058545707840607086,[13]
1,0__1__2__3__4__5__6__7__8__9-10__11__12__13__14__15,['exhaustive_transfer'],5,-0.010460237875,4.301559976352158,0.05457924398159353,[9]
1,0__1__2-3__4__5__6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],6,-0.009043374151,4.322467908365169,0.07548717599460453,[2]
1,0__1__2__3__4__5__6__7__8-9__10__11__12__13__14__15,['exhaustive_transfer'],7,0.012565834373,4.305675335060933,0.05869460269036786,[8]
1,0__1__2__3-4__5__6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],8,0.01554974339,4.3193777061977,0.07239697382713484,[3]
1,0__1__2__3__4__5__6__7__8__9__10__11__12-13__14__15,['exhaustive_transfer'],9,0.019608959254,4.328669878977368,0.08168914660680304,[12]
1,0__1__2__3__4__5__6__7-8__9__10__11__12__13__14__15,['exhaustive_transfer'],10,0.020411593167,4.317088620753582,0.07010788838301707,[7]
1,0__1__2__3__4__5__6__7__8__9__10__11-12__13__14__15,['exhaustive_transfer'],11,0.027511832245,4.3265660557229495,0.07958532335238466,[11]
1,0__1__2__3__4-5__6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],12,0.043870309768,4.322397918645238,0.07541718627467286,[4]
1,0-1__2__3__4__5__6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],13,0.04457002185,4.324917032571832,0.07793630020126674,[0]
1,0__1-2__3__4__5__6__7__8__9__10__11__12__13__14__15,['exhaustive_transfer'],14,0.046938516822,4.3181972820621315,0.07121654969156666,[1]
1,0__1__2__3__4__5__6__7__8__9__10-11__12__13__14__15,['exhaustive_transfer'],15,0.054710676897,4.3151140213012695,0.0681332889307047,[10]
2,0-1__2__3__4-5__6__7__8__9__10__11__12__13__14__15,['target_bottom'],87,0.088440331618,4.478379057998881,0.23139832562831586,"[0, 4]"
2,0-1__2__3__4__5-6__7__8__9__10__11__12__13__14__15,['uniform_transfer'],26,-0.036106351339,4.440395618114303,0.19341488574373855,"[0, 5]"
2,0-1__2__3__4__5__6__7__8-9__10__11__12__13__14__15,['uniform_transfer'],70,0.057135856223,4.445044187040506,0.19806345466994113,"[0, 8]"
2,0-1__2__3__4__5__6__7__8__9__10-11__12__13__14__15,['target_bottom'],90,0.099280698747,4.464193187034957,0.21721245466439232,"[0, 10]"
2,0-1__2__3__4__5__6__7__8__9__10__11__12-13__14__15,['uniform_transfer'],75,0.064178981105,4.468770131570736,0.22178939920017093,"[0, 12]"
2,0-1__2__3__4__5__6__7__8__9__10__11__12__13-14__15,['uniform_transfer'],52,0.018742565571,4.43842956583987,0.1914488334693054,"[0, 13]"
2,0__1-2__3-4__5__6__7__8__9__10__11__12__13__14__15,['uniform_transfer'],73,0.062488260212,4.46636330603621,0.21938257366564518,"[1, 3]"
2,0__1-2__3__4-5__6__7__8__9__10__11__12__13__14__15,"['target_bottom', 'uniform_transfer']",88,0.09080882659,4.467491844415898,0.22051111204533314,"[1, 4]"
2,0__1-2__3__4__5-6__7__8__9__10__11__12__13__14__15,['uniform_transfer'],28,-0.033737856368,4.429869009952042,0.18288827758147708,"[1, 5]"
2,0__1-2__3__4__5__6-7__8__9__10__11__12__13__14__15,['uniform_transfer'],17,-0.064032201283,4.417998805656694,0.17101807328612928,"[1, 6]"
2,0__1-2__3__4__5__6__7-8__9__10__11__12__13__14__15,['uniform_transfer'],80,0.067350109989,4.450779463655206,0.20379873128464077,"[1, 7]"
2,0__1-2__3__4__5__6__7__8__9__10-11__12__13__14__15,"['target_bottom', 'uniform_transfer']",91,0.101649193719,4.460360662212353,0.21337992984178822,"[1, 10]"
2,0__1-2__3__4__5__6__7__8__9__10__11__12__13__14-15,['uniform_transfer'],40,-0.001820811344,4.421690971620621,0.17471023925005635,"[1, 14]"
2,0__1__2-3__4__5-6__7__8__9__10__11__12__13__14__15,['uniform_transfer'],11,-0.089719747341,4.424879327664044,0.1778985952934793,"[2, 5]"
2,0__1__2-3__4__5__6-7__8__9__10__11__12__13__14__15,"['target_top', 'uniform_transfer']",5,-0.120014092256,4.419554965820014,0.1725742334494491,"[2, 6]"
2,0__1__2-3__4__5__6__7-8__9__10__11__12__13__14__15,"['target_middle', 'uniform_transfer']",48,0.011368219016,4.4550512272824525,0.20807049491188767,"[2, 7]"
2,0__1__2-3__4__5__6__7__8__9-10__11__12__13__14__15,['uniform_transfer'],34,-0.019503612026,4.427950802203614,0.18097006983304897,"[2, 9]"
2,0__1__2-3__4__5__6__7__8__9__10__11__12-13__14__15,['target_middle'],47,0.010565585103,4.473352007618864,0.22637127524829914,"[2, 12]"
2,0__1__2__3-4__5__6-7__8__9__10__11__12__13__14__15,['target_top'],8,-0.095420974715,4.41624660622456,0.16926587385399472,"[3, 6]"
2,0__1__2__3-4__5__6__7-8__9__10__11__12__13__14__15,['uniform_transfer'],62,0.035961336557,4.449668195823304,0.20268746345273936,"[3, 7]"
2,0__1__2__3-4__5__6__7__8__9__10__11__12-13__14__15,['uniform_transfer'],60,0.035158702644,4.469280438688843,0.2222997063182781,"[3, 12]"
2,0__1__2__3-4__5__6__7__8__9__10__11__12__13__14-15,['uniform_transfer'],29,-0.033209584776,4.413793287901818,0.16681255553125318,"[3, 14]"
2,0__1__2__3__4-5__6-7__8__9__10__11__12__13__14__15,['uniform_transfer'],14,-0.067100408338,4.4220927691529575,0.17511203678239262,"[4, 6]"
2,0__1__2__3__4-5__6__7__8-9__10__11__12__13__14__15,['uniform_transfer'],69,0.05643614414,4.446599957064333,0.1996192246937678,"[4, 8]"
2,0__1__2__3__4-5__6__7__8__9__10-11__12__13__14__15,"['target_bottom', 'uniform_transfer']",89,0.098580986664,4.467358921513413,0.22037818914284824,"[4, 10]"
2,0__1__2__3__4-5__6__7__8__9__10__11-12__13__14__15,['uniform_transfer'],82,0.071382142013,4.467140552468547,0.22015982009798218,"[4, 11]"
2,0__1__2__3__4__5-6__7__8__9-10__11__12__13__14__15,"['target_top', 'uniform_transfer']",10,-0.091136611065,4.4069541682246145,0.15997343585404966,"[5, 9]"
2,0__1__2__3__4__5-6__7__8__9__10__11__12__13-14__15,['target_top'],6,-0.106503829469,4.407361014264536,0.16038028189397124,"[5, 13]"
2,0__1__2__3__4__5-6__7__8__9__10__11__12__13__14-15,['target_top'],3,-0.129435701355,4.39870085021734,0.15172011784677508,"[5, 14]"
2,0__1__2__3__4__5__6-7__8-9__10__11__12__13__14__15,['target_top'],7,-0.098404883732,4.400114163858333,0.1531334314877686,"[6, 8]"
2,0__1__2__3__4__5__6-7__8__9-10__11__12__13__14__15,['target_top'],4,-0.12143095598,4.398566717276475,0.15158598490591046,"[6, 9]"
2,0__1__2__3__4__5__6-7__8__9__10-11__12__13__14__15,['uniform_transfer'],22,-0.056260041208,4.415024173807422,0.1680434414368568,"[6, 10]"
2,0__1__2__3__4__5__6-7__8__9__10__11__12-13__14__15,['target_top'],9,-0.091361758851,4.426859101475392,0.17987836910482713,"[6, 12]"
2,0__1__2__3__4__5__6-7__8__9__10__11__12__13-14__15,['target_top'],2,-0.136798174385,4.400697289557285,0.15371655718672006,"[6, 13]"
2,0__1__2__3__4__5__6-7__8__9__10__11__12__13__14-15,['target_top'],1,-0.159730046271,4.386670814581281,0.13969008221071633,"[6, 14]"
2,0__1__2__3__4__5__6__7-8__9-10__11__12__13__14__15,['target_middle'],46,0.009951355292,4.419130145862538,0.1721494134919732,"[7, 9]"
