choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
1,0,native_h16,4.36591859810047,0.0,[],16,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80]"
2,1,0__1__2-3__4__5__6-7__8__9-10__11__12__13__14-15,4.994239303256992,0.628320705156522,"[2, 6, 9, 14]",12,"[80, 80, 160, 80, 80, 160, 80, 160, 80, 80, 80, 160]"
3,2,0__1__2-3__4__5__6-7__8-9__10__11__12__13__14-15,4.997433267147777,0.6315146690473066,"[2, 6, 8, 14]",12,"[80, 80, 160, 80, 80, 160, 160, 80, 80, 80, 80, 160]"
4,3,0__1__2__3-4__5__6-7__8-9__10__11__12__13__14-15,5.004151578755906,0.6382329806554354,"[3, 6, 8, 14]",12,"[80, 80, 80, 160, 80, 160, 160, 80, 80, 80, 80, 160]"
5,4,0__1__2__3-4__5__6-7__8__9-10__11__12__13__14-15,5.006173093297964,0.6402544951974933,"[3, 6, 9, 14]",12,"[80, 80, 80, 160, 80, 160, 80, 160, 80, 80, 80, 160]"
6,5,0__1__2-3__4__5__6-7__8__9__10__11-12__13__14-15,5.013045949087581,0.6471273509871107,"[2, 6, 11, 14]",12,"[80, 80, 160, 80, 80, 160, 80, 80, 80, 160, 80, 160]"
7,6,0__1__2-3__4__5-6__7__8__9-10__11__12__13__14-15,5.0133088467058196,0.6473902486053493,"[2, 5, 9, 14]",12,"[80, 80, 160, 80, 160, 80, 80, 160, 80, 80, 80, 160]"
8,7,0__1__2-3__4__5__6-7__8__9__10-11__12__13__14-15,5.018218454843859,0.6522998567433884,"[2, 6, 10, 14]",12,"[80, 80, 160, 80, 80, 160, 80, 80, 160, 80, 80, 160]"
9,8,0__1__2__3__4__5__6-7__8__9-10__11-12__13__14-15,5.020214390778006,0.6542957926775355,"[6, 9, 11, 14]",12,"[80, 80, 80, 80, 80, 80, 160, 80, 160, 160, 80, 160]"
10,9,0__1__2__3__4__5__6-7__8__9-10__11__12-13__14-15,5.020840453262553,0.6549218551620823,"[6, 9, 12, 14]",12,"[80, 80, 80, 80, 80, 80, 160, 80, 160, 80, 160, 160]"
11,10,0__1__2-3__4-5__6-7__8__9__10__11__12__13__14-15,5.022822088743118,0.6569034906426481,"[2, 4, 6, 14]",12,"[80, 80, 160, 160, 160, 80, 80, 80, 80, 80, 80, 160]"
