candidate_id,boundary,discovery_delta_nll,confirmation_delta_nll
remove-00,0,0.04837849832350205,0.052252259538786205
remove-01,1,0.057051393876211165,0.06043867771226985
remove-02,2,0.04824234989498155,0.05233472067123479
remove-03,3,0.0402743226738389,0.04300753881504793
remove-04,4,0.04400331230573773,0.04833326404977978
remove-05,5,0.03271985170545211,0.03658516083061958
remove-06,6,0.031020025587035427,0.03305391412326664
remove-07,7,0.03407920210941828,0.03587146238847172
remove-08,8,0.03131173759378392,0.033164442459508336
remove-09,9,0.035150532149150315,0.03830252225098363
remove-10,10,0.03770043260307698,0.041868945836787574
remove-11,11,0.03520669219314421,0.0366816651203532
remove-12,12,0.03909503026908201,0.040004120544254285
remove-13,13,0.04140806384566709,0.04425858052944509
remove-14,14,0.03908932919842556,0.04257457067539949
