split,step,candidate_id,boundary,delta_nll
discovery,1000,remove-00,0,0.012553511943052875
discovery,1000,remove-01,1,0.011387423685918385
discovery,1000,remove-02,2,0.012379329342063095
discovery,1000,remove-03,3,0.011943998457981664
discovery,1000,remove-04,4,0.016617503683587387
discovery,1000,remove-05,5,0.015310438963441086
discovery,1000,remove-06,6,0.011384476431420154
discovery,1000,remove-07,7,0.008151183496588388
discovery,1000,remove-08,8,0.008415610909112026
discovery,1000,remove-09,9,0.00971029231275633
discovery,1000,remove-10,10,0.00635586269673194
discovery,1000,remove-11,11,0.007323235244228954
discovery,1000,remove-12,12,0.011257467614823824
discovery,1000,remove-13,13,0.014671609548529752
discovery,1000,remove-14,14,0.012169393276538543
discovery,1500,remove-00,0,0.04837849832350205
discovery,1500,remove-01,1,0.057051393876211165
discovery,1500,remove-02,2,0.04824234989498155
discovery,1500,remove-03,3,0.0402743226738389
discovery,1500,remove-04,4,0.04400331230573773
discovery,1500,remove-05,5,0.03271985170545211
discovery,1500,remove-06,6,0.031020025587035427
discovery,1500,remove-07,7,0.03407920210941828
discovery,1500,remove-08,8,0.03131173759378392
discovery,1500,remove-09,9,0.035150532149150315
discovery,1500,remove-10,10,0.03770043260307698
discovery,1500,remove-11,11,0.03520669219314421
discovery,1500,remove-12,12,0.03909503026908201
discovery,1500,remove-13,13,0.04140806384566709
discovery,1500,remove-14,14,0.03908932919842556
discovery,2000,remove-00,0,0.06317892195775254
discovery,2000,remove-01,1,0.07166235700963419
discovery,2000,remove-02,2,0.07410624579600267
discovery,2000,remove-03,3,0.06861605835333862
discovery,2000,remove-04,4,0.06834060495549998
discovery,2000,remove-05,5,0.05132488304801974
discovery,2000,remove-06,6,0.053277506972804645
discovery,2000,remove-07,7,0.07009424515367169
discovery,2000,remove-08,8,0.05186238713045377
discovery,2000,remove-09,9,0.047802280004655806
discovery,2000,remove-10,10,0.06300068554174398
discovery,2000,remove-11,11,0.07495183142981787
discovery,2000,remove-12,12,0.07193583687030003
discovery,2000,remove-13,13,0.05231419569819096
discovery,2000,remove-14,14,0.05069364667055343
discovery,3000,remove-00,0,0.09464409670638663
discovery,3000,remove-01,1,0.07920556800223277
discovery,3000,remove-02,2,0.07455718039534087
discovery,3000,remove-03,3,0.07102102874427718
discovery,3000,remove-04,4,0.06496494699666489
discovery,3000,remove-05,5,0.0679170924547483
discovery,3000,remove-06,6,0.07393789897333303
discovery,3000,remove-07,7,0.09855843009836907
discovery,3000,remove-08,8,0.09408783935964493
discovery,3000,remove-09,9,0.0740560571702229
discovery,3000,remove-10,10,0.10160786525245324
discovery,3000,remove-11,11,0.09810918703573357
discovery,3000,remove-12,12,0.07170969300256136
discovery,3000,remove-13,13,0.06793607691282855
discovery,3000,remove-14,14,0.0631526768032753
confirmation,1000,remove-00,0,0.013921064132586203
confirmation,1000,remove-01,1,0.012975767793776072
confirmation,1000,remove-02,2,0.013189044982223841
confirmation,1000,remove-03,3,0.012181898715558859
confirmation,1000,remove-04,4,0.01648307242817637
confirmation,1000,remove-05,5,0.015997528680258277
confirmation,1000,remove-06,6,0.01203634452260438
confirmation,1000,remove-07,7,0.008353594111556895
confirmation,1000,remove-08,8,0.008942501985432116
confirmation,1000,remove-09,9,0.010613637702322265
confirmation,1000,remove-10,10,0.007194419760158333
confirmation,1000,remove-11,11,0.00770761400373754
confirmation,1000,remove-12,12,0.011799056742081149
confirmation,1000,remove-13,13,0.014777478584446335
confirmation,1000,remove-14,14,0.012444286868485754
confirmation,1500,remove-00,0,0.052252259538786205
confirmation,1500,remove-01,1,0.06043867771226985
confirmation,1500,remove-02,2,0.05233472067123479
confirmation,1500,remove-03,3,0.04300753881504793
confirmation,1500,remove-04,4,0.04833326404977978
confirmation,1500,remove-05,5,0.03658516083061958
confirmation,1500,remove-06,6,0.03305391412326664
confirmation,1500,remove-07,7,0.03587146238847172
confirmation,1500,remove-08,8,0.033164442459508336
confirmation,1500,remove-09,9,0.03830252225098363
confirmation,1500,remove-10,10,0.041868945836787574
confirmation,1500,remove-11,11,0.0366816651203532
confirmation,1500,remove-12,12,0.040004120544254285
confirmation,1500,remove-13,13,0.04425858052944509
confirmation,1500,remove-14,14,0.04257457067539949
confirmation,2000,remove-00,0,0.06586939848063622
confirmation,2000,remove-01,1,0.07436848106272453
confirmation,2000,remove-02,2,0.07966562962835066
confirmation,2000,remove-03,3,0.0731843634201752
confirmation,2000,remove-04,4,0.0734725515863417
confirmation,2000,remove-05,5,0.054935775078170934
confirmation,2000,remove-06,6,0.056824254849789035
confirmation,2000,remove-07,7,0.07384463559147925
confirmation,2000,remove-08,8,0.05587353850856047
confirmation,2000,remove-09,9,0.05270061464953013
confirmation,2000,remove-10,10,0.06681048625375574
confirmation,2000,remove-11,11,0.07853942229717514
confirmation,2000,remove-12,12,0.07500677957096702
confirmation,2000,remove-13,13,0.055055928253591624
confirmation,2000,remove-14,14,0.05424084761275605
confirmation,3000,remove-00,0,0.09516125294003874
confirmation,3000,remove-01,1,0.07879109210166302
confirmation,3000,remove-02,2,0.07455297835528096
confirmation,3000,remove-03,3,0.07259378358648849
confirmation,3000,remove-04,4,0.0658207251995302
confirmation,3000,remove-05,5,0.06835245596698325
confirmation,3000,remove-06,6,0.0753659824472015
confirmation,3000,remove-07,7,0.09885972499381257
confirmation,3000,remove-08,8,0.09414558233520243
confirmation,3000,remove-09,9,0.07595830509040358
confirmation,3000,remove-10,10,0.1053476105221085
confirmation,3000,remove-11,11,0.10058962494746648
confirmation,3000,remove-12,12,0.0725665842915788
confirmation,3000,remove-13,13,0.06831615341723474
confirmation,3000,remove-14,14,0.0644220317680233
