split,step_t,step_u,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret
discovery,1000,1500,remove-10,0.03770043260307698,0.031020025587035427,0.006680407016041556
discovery,1000,2000,remove-10,0.06300068554174398,0.047802280004655806,0.015198405537088178
discovery,1000,3000,remove-10,0.10160786525245324,0.0631526768032753,0.038455188449177946
discovery,1500,2000,remove-06,0.053277506972804645,0.047802280004655806,0.005475226968148839
discovery,1500,3000,remove-06,0.07393789897333303,0.0631526768032753,0.010785222170057729
discovery,2000,3000,remove-09,0.0740560571702229,0.0631526768032753,0.010903380366947601
confirmation,1000,1500,remove-10,0.041868945836787574,0.03305391412326664,0.008815031713520938
confirmation,1000,2000,remove-10,0.06681048625375574,0.05270061464953013,0.01410987160422561
confirmation,1000,3000,remove-10,0.1053476105221085,0.0644220317680233,0.0409255787540852
confirmation,1500,2000,remove-06,0.056824254849789035,0.05270061464953013,0.0041236402002589045
confirmation,1500,3000,remove-06,0.0753659824472015,0.0644220317680233,0.010943950679178194
confirmation,2000,3000,remove-09,0.07595830509040358,0.0644220317680233,0.011536273322380275
