split,step_t,step_u,step_gap,spearman,pearson,top_three_overlap,top_three_jaccard,median_side_agreement,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret,seed
discovery,1000,1500,500,0.37499999999999994,0.40427959365918603,0,0.0,0.7333333333333333,remove-02,0.022616992831114402,0.018318722091929196,0.004298270739185206,44
discovery,1000,2000,1000,0.5035714285714286,0.5011451977376521,1,0.2,0.7333333333333333,remove-02,0.034179327191961484,0.029085767583763023,0.005093559608198461,44
discovery,1000,3000,2000,-0.06428571428571428,0.07339180134590016,0,0.0,0.4666666666666667,remove-02,0.058535037968281856,0.04364673366527949,0.014888304303002364,44
discovery,1500,2000,500,0.3607142857142856,0.35143434656962186,1,0.2,0.6,remove-03,0.033140198343077465,0.029085767583763023,0.004054430759314442,44
discovery,1500,3000,1500,0.6285714285714286,0.531011117525365,2,0.5,0.6,remove-03,0.04980482407212783,0.04364673366527949,0.006158090406848338,44
discovery,2000,3000,1000,0.32499999999999996,0.2964245634425445,1,0.2,0.6,remove-05,0.053155211992161,0.04364673366527949,0.009508478326881509,44
confirmation,1000,1500,500,0.20357142857142854,0.1900516187977357,0,0.0,0.4666666666666667,remove-02,0.02432938778039162,0.01897809465842748,0.00535129312196414,44
confirmation,1000,2000,1000,0.3071428571428571,0.2798544483298315,1,0.2,0.7333333333333333,remove-02,0.036070777990018676,0.030467356404950685,0.005603421585067991,44
confirmation,1000,3000,2000,-0.2714285714285714,-0.0956004239032153,0,0.0,0.4666666666666667,remove-02,0.05968966115837748,0.04341714100171146,0.016272520156666026,44
confirmation,1500,2000,500,0.5035714285714286,0.3085129816838895,1,0.2,0.7333333333333333,remove-03,0.03381216537684395,0.030467356404950685,0.003344808971893265,44
confirmation,1500,3000,1500,0.6285714285714286,0.5295161356663532,1,0.2,0.8666666666666667,remove-03,0.051192995390234586,0.04341714100171146,0.007775854388523129,44
confirmation,2000,3000,1000,0.4142857142857142,0.29642437126761195,0,0.0,0.7333333333333333,remove-05,0.054478078527067986,0.04341714100171146,0.011060937525356529,44
