contrast,split,delta_nll,ci95_low,ci95_high
c4-minus-m4,discovery,0.19735233431804033,0.18941459147026762,0.20576035393169148
c4-minus-m4,confirmation,0.1819156024929134,0.17489817417226733,0.18924777595093473
c8-minus-m8,discovery,0.3018317357768989,0.29090911435196176,0.3132191872689873
c8-minus-m8,confirmation,0.2861433420712647,0.275798130070325,0.2969091142877005
g4-minus-b,discovery,0.23034593763006495,0.220368985645473,0.24078071549301966
g4-minus-b,confirmation,0.22031646226974289,0.21006113393232226,0.23124070371268315
g8-minus-b,discovery,0.3141729838687297,0.3023978618439287,0.32611018255120144
g8-minus-b,confirmation,0.30299432163480944,0.2911274740356021,0.3159017029800452
h4-interaction,discovery,-0.03299360331202461,-0.038533618452493104,-0.027615818299818785
h4-interaction,confirmation,-0.0384008597768295,-0.044388778961729256,-0.03265733644366264
h8-interaction,discovery,-0.012341248091830792,-0.017483690567314625,-0.00728936337400228
h8-interaction,confirmation,-0.016850979563544755,-0.022324796475004405,-0.011461146874353291
