contrast,role,split,delta_nll,ci95_low,ci95_high
hq8-minus-m8,primary,discovery,-0.0002406447514067267,-0.0026904385653324426,0.00226490661734715
hq8-minus-m8,primary,confirmation,-0.0006710925992523542,-0.002907986962236464,0.0015511246165260664
bhq8-minus-b,control,discovery,0.02029628324834931,0.017681773321237416,0.02292514842702076
bhq8-minus-b,control,confirmation,0.021492051472296048,0.019057278393302114,0.023976295348256828
h8-interaction,primary_interaction,discovery,-0.02053692799975604,-0.0238999325199984,-0.017187502374872567
h8-interaction,primary_interaction,confirmation,-0.022163144071548402,-0.02559320101281628,-0.018753334495704623
hq8-minus-lq8,endpoint_diagnostic,discovery,-0.058301692600940314,-0.06144875600002706,-0.05531708840280771
hq8-minus-lq8,endpoint_diagnostic,confirmation,-0.05472375733644963,-0.05744236280443147,-0.05206934749148786
bhq8-minus-blq8,endpoint_control_diagnostic,discovery,-0.039474981854271896,-0.04219565321691334,-0.03679223791696131
bhq8-minus-blq8,endpoint_control_diagnostic,confirmation,-0.03765724364846523,-0.04087643043603748,-0.03474128798115998
mhar-midpoint-curvature,shape_diagnostic,discovery,-0.05854233735234704,-0.06294313137186691,-0.05424893379677087
mhar-midpoint-curvature,shape_diagnostic,confirmation,-0.055394849935701984,-0.05959766987944022,-0.051197542902082206
baseline-midpoint-curvature,shape_control_diagnostic,discovery,-0.019178698605922584,-0.023651402117684482,-0.014755403518211098
baseline-midpoint-curvature,shape_control_diagnostic,confirmation,-0.016165192176169185,-0.020647016749717296,-0.011792334448546174
