condition,kind,split,nll,delta_nll,ci95_low,ci95_high
hq8-unchanged,reference,discovery,4.247703451098817,0.0,0.0,0.0
hq8-unchanged,reference,confirmation,4.13635570306116,0.0,0.0,0.0
zero-local,structured,discovery,4.422279555543543,0.17457610444472582,0.16926527942996472,0.17995567996986211
zero-local,structured,confirmation,4.301822121192283,0.16546641813112295,0.1612399318953976,0.16997724174289033
zero-global,structured,discovery,5.76277827657213,1.5150748254733122,1.4941051750211045,1.5361950991442428
zero-global,structured,confirmation,5.630811317458764,1.4944556143976033,1.4720522423507645,1.5169873058912344
balanced-g0123,balanced-random-8,discovery,4.670019897431106,0.4223164463322888,0.4152552737039514,0.4295994824264199
balanced-g0123,balanced-random-8,confirmation,4.550263119582906,0.413907416521746,0.4071406369213946,0.4209170268033631
balanced-g0124,balanced-random-8,discovery,4.735412139463751,0.48770868836493353,0.47799741697963327,0.4976094707963057
balanced-g0124,balanced-random-8,confirmation,4.610730291927782,0.4743745888666213,0.4641362933209166,0.4847504188190214
balanced-g0125,balanced-random-8,discovery,4.6886605107073445,0.44095705960852705,0.432143298513256,0.45023369246628137
balanced-g0125,balanced-random-8,confirmation,4.568650008413216,0.4322943053520554,0.422924515826162,0.44209484884049743
balanced-g0126,balanced-random-8,discovery,4.785030355667905,0.5373269045690874,0.5281757560209371,0.5467905214289204
balanced-g0126,balanced-random-8,confirmation,4.663347486177148,0.5269917831159878,0.5176917221164331,0.536622817616444
balanced-g0127,balanced-random-8,discovery,4.809322187045219,0.5616187359464018,0.5525014066835865,0.571015109308064
balanced-g0127,balanced-random-8,confirmation,4.684903996431233,0.5485482933700725,0.5386794295511208,0.5583761367714033
balanced-g0134,balanced-random-8,discovery,4.64500514596322,0.39730169486440214,0.38965334692038595,0.40527142205974087
balanced-g0134,balanced-random-8,confirmation,4.525346637121743,0.3889909340605824,0.3809039787854999,0.3972367485053837
balanced-g0135,balanced-random-8,discovery,4.634674595248315,0.3869711441494976,0.3787074180552736,0.3954720445908606
balanced-g0135,balanced-random-8,confirmation,4.515365897036018,0.3790101939748576,0.37076822757953776,0.38768131933175026
balanced-g0136,balanced-random-8,discovery,4.683578281924638,0.4358748308258207,0.427689126774203,0.4444945114548318
balanced-g0136,balanced-random-8,confirmation,4.563978204046643,0.4276225009854828,0.4195234580663964,0.4357465422246605
balanced-g0137,balanced-random-8,discovery,4.71096235472902,0.4632589036302024,0.4560909996274859,0.4704936975380406
balanced-g0137,balanced-random-8,confirmation,4.592476938010893,0.456121234949733,0.4487237422959879,0.46382179082138464
balanced-g0145,balanced-random-8,discovery,4.654804806322413,0.40710135522359536,0.39738434077007695,0.4170004405314103
balanced-g0145,balanced-random-8,confirmation,4.530216424928965,0.39386072186780474,0.3837195414234884,0.40451196250505744
balanced-g0146,balanced-random-8,discovery,4.705453245287883,0.45774979418906536,0.4481557795428671,0.46744088822742924
balanced-g0146,balanced-random-8,confirmation,4.583480023452148,0.44712432039098715,0.4372983808512799,0.45744337381329386
balanced-g0147,balanced-random-8,discovery,4.871357799392059,0.6236543482932415,0.6114542945520952,0.6362574338098057
balanced-g0147,balanced-random-8,confirmation,4.749520902642989,0.6131651995818288,0.5976504131220282,0.6294385057059116
balanced-g0156,balanced-random-8,discovery,4.742891088841831,0.49518763774301355,0.4836171488976106,0.5073396720341407
balanced-g0156,balanced-random-8,confirmation,4.62285940994382,0.48650370688265987,0.47423057600390167,0.4991330349235795
balanced-g0157,balanced-random-8,discovery,4.718506992970277,0.4708035418714598,0.4626945873838849,0.479163490771316
balanced-g0157,balanced-random-8,confirmation,4.5994022622019894,0.46304655914082904,0.45341033096192407,0.47285132518736644
balanced-g0167,balanced-random-8,discovery,4.786671068428316,0.5389676173294982,0.530147336574737,0.5481494524516165
balanced-g0167,balanced-random-8,confirmation,4.667540643921346,0.5311849408601859,0.5214826387469657,0.5412990989745594
balanced-g0234,balanced-random-8,discovery,4.744110192721191,0.49640674162237364,0.4882439920445904,0.5049864302854985
balanced-g0234,balanced-random-8,confirmation,4.621059620951394,0.4847039178902337,0.4754017217201181,0.4944003172917292
balanced-g0235,balanced-random-8,discovery,4.714392047240704,0.4666885961418865,0.4580005684518255,0.4757177066639997
balanced-g0235,balanced-random-8,confirmation,4.591804688510541,0.4554489854493804,0.44608368357876316,0.4647427181946114
balanced-g0236,balanced-random-8,discovery,4.786116012263741,0.5384125611649235,0.5306619773269631,0.5464869949384592
balanced-g0236,balanced-random-8,confirmation,4.660909963143536,0.5245542600823754,0.5165653422940523,0.5325047416728921
balanced-g0237,balanced-random-8,discovery,4.82032844491252,0.5726249938137027,0.5645776071585715,0.5804988939664326
balanced-g0237,balanced-random-8,confirmation,4.700688528991281,0.564332825930121,0.5554576825234108,0.5734068935737013
balanced-g0245,balanced-random-8,discovery,4.740038517516613,0.49233506641779545,0.48224888858385384,0.5027051965240389
balanced-g0245,balanced-random-8,confirmation,4.6115849649684755,0.47522926190731507,0.46431061589391903,0.48658602172508836
balanced-g0246,balanced-random-8,discovery,4.818554003800348,0.5708505527015308,0.5621809888631105,0.5798277104971931
balanced-g0246,balanced-random-8,confirmation,4.690984917526022,0.5546292144648612,0.5446517995907925,0.56460928193992
balanced-g0247,balanced-random-8,discovery,4.9883982340494795,0.740694782950662,0.7268427927047014,0.7546963848755694
balanced-g0247,balanced-random-8,confirmation,4.864677231565832,0.7283215285046714,0.7115735999541357,0.7456375162350014
balanced-g0256,balanced-random-8,discovery,4.852667127070422,0.6049636759716046,0.593210594856646,0.6165663618361578
balanced-g0256,balanced-random-8,confirmation,4.720396827276384,0.5840411242152239,0.5723776480648667,0.5959832685301081
balanced-g0257,balanced-random-8,discovery,4.821146819132397,0.5734433680335798,0.5640588156878948,0.5826538845547474
balanced-g0257,balanced-random-8,confirmation,4.700050881647761,0.5636951785866007,0.5530910192523152,0.5743421922554262
balanced-g0267,balanced-random-8,discovery,4.939353939608278,0.6916504885094605,0.6820351153262891,0.7014322900678962
balanced-g0267,balanced-random-8,confirmation,4.816873356510584,0.6805176534494235,0.6700345102930442,0.6908949991920963
balanced-g0345,balanced-random-8,discovery,4.676609375376622,0.42890592427780483,0.4200322661083192,0.4381352313095704
balanced-g0345,balanced-random-8,confirmation,4.549101074886229,0.41274537182506865,0.40314319133758547,0.42290507279103623
balanced-g0346,balanced-random-8,discovery,4.694909742267717,0.4472062911688992,0.4393372002057731,0.45531248258193957
balanced-g0346,balanced-random-8,confirmation,4.570073289955117,0.43371758689395623,0.4256349784671329,0.44201528368284926
balanced-g0347,balanced-random-8,discovery,4.863608580297505,0.6159051291986879,0.605007779202424,0.627004920085892
balanced-g0347,balanced-random-8,confirmation,4.7425564125486135,0.6062007094874531,0.5924641688703559,0.6201641745632515
balanced-g0356,balanced-random-8,discovery,4.752791363705871,0.5050879126070535,0.49413244808092716,0.5162836248171516
balanced-g0356,balanced-random-8,confirmation,4.622962536350373,0.48660683328921284,0.47539466072339565,0.4981197333429009
balanced-g0357,balanced-random-8,discovery,4.7431108040310885,0.4954073529322711,0.4873315036180429,0.5034436136949807
balanced-g0357,balanced-random-8,confirmation,4.6240577926150985,0.4877020895539381,0.4788658119738102,0.49693065859610214
balanced-g0367,balanced-random-8,discovery,4.7869364075646725,0.5392329564658551,0.5313157108612359,0.5471077339607291
balanced-g0367,balanced-random-8,confirmation,4.6670384006183285,0.5306826975571681,0.5224699896178209,0.5393132674391381
balanced-g0456,balanced-random-8,discovery,4.73462679798652,0.48692334688770256,0.4753622667049058,0.49925830132560806
balanced-g0456,balanced-random-8,confirmation,4.602448951463895,0.4660932484027347,0.454919461638201,0.47780844492372126
balanced-g0457,balanced-random-8,discovery,4.83922927843394,0.5915258273351229,0.5799825053545646,0.6030137571739033
balanced-g0457,balanced-random-8,confirmation,4.714061826088795,0.5777061230276344,0.5636618372169323,0.5918245512759313
balanced-g0467,balanced-random-8,discovery,4.888910069377075,0.6412066182782574,0.6308144534239546,0.6519596433732658
balanced-g0467,balanced-random-8,confirmation,4.768131885826879,0.6317761827657185,0.6183930056868121,0.6456045871949755
balanced-g0567,balanced-random-8,discovery,4.836381779854365,0.5886783287555479,0.5782553115859628,0.5993598200380802
balanced-g0567,balanced-random-8,confirmation,4.710133216481288,0.5737775134201275,0.5622514000046067,0.5856738873175346
balanced-g1234,balanced-random-8,discovery,4.668451279372647,0.4207478282738295,0.41246004091808575,0.42942141789244487
balanced-g1234,balanced-random-8,confirmation,4.544715600745536,0.40835989768437564,0.3993732729228213,0.41761879456462336
balanced-g1235,balanced-random-8,discovery,4.648090501451539,0.4003870503527214,0.3922330357483588,0.4089673102484085
balanced-g1235,balanced-random-8,confirmation,4.526657133391409,0.3903014303302488,0.38094754862831903,0.3994986530742608
balanced-g1236,balanced-random-8,discovery,4.677736594646674,0.43003314354785616,0.4221283212420531,0.43789616326102987
balanced-g1236,balanced-random-8,confirmation,4.550099755545399,0.4137440524842386,0.406284941919148,0.4215275155380368
balanced-g1237,balanced-random-8,discovery,4.731531841430963,0.4838283903321452,0.4756253322237171,0.4923007189994678
balanced-g1237,balanced-random-8,confirmation,4.605973304774638,0.46961760171347766,0.46091886358335615,0.4787918781861663
balanced-g1245,balanced-random-8,discovery,4.691735093777713,0.4440316426788957,0.43426555367186664,0.4538117821794003
balanced-g1245,balanced-random-8,confirmation,4.567944747611574,0.4315890445504138,0.42068655720213427,0.44301914410898463
balanced-g1246,balanced-random-8,discovery,4.724982592134299,0.4772791410354813,0.46845642721746117,0.48674250891199333
balanced-g1246,balanced-random-8,confirmation,4.598540166722481,0.4621844636613206,0.4527357457089238,0.4720454142661765
balanced-g1247,balanced-random-8,discovery,4.909194506741223,0.6614910556424052,0.6476866236771457,0.6754175042151473
balanced-g1247,balanced-random-8,confirmation,4.783820715351422,0.6474650122902617,0.6306710308301262,0.66473102576565
balanced-g1256,balanced-random-8,discovery,4.758131300832053,0.5104278497332357,0.4992092522210442,0.5219116681371816
balanced-g1256,balanced-random-8,confirmation,4.628028765684931,0.49167306262377064,0.48030430417275055,0.5032103657489643
balanced-g1257,balanced-random-8,discovery,4.76102262787805,0.5133191767792322,0.5037681349203922,0.5229952082503587
balanced-g1257,balanced-random-8,confirmation,4.639821312178149,0.5034656091169882,0.4930333195487037,0.5142941677360795
