condition,kind,split,nll,delta_nll,ci95_low,ci95_high
derangement-00,local-chunk-derangement,discovery,4.319806993415511,0.07210354231669402,0.07017130760941655,0.0740648178383708
derangement-00,local-chunk-derangement,confirmation,4.206345175018758,0.06998947195759797,0.06827876422321424,0.07167603862471879
derangement-01,local-chunk-derangement,discovery,4.318229328502309,0.07052587740349114,0.06837687897495925,0.07277244891738519
derangement-01,local-chunk-derangement,confirmation,4.20275616109779,0.06640045803662975,0.06467251884751021,0.06815475506009534
derangement-02,local-chunk-derangement,discovery,4.314614525754897,0.0669110746560797,0.06490427531534806,0.06898658563150092
derangement-02,local-chunk-derangement,confirmation,4.200241644478031,0.06388594141687065,0.06218668125802651,0.06559963912004604
derangement-03,local-chunk-derangement,discovery,4.313964026647812,0.0662605755489949,0.06432535233907402,0.06821957621723414
derangement-03,local-chunk-derangement,confirmation,4.19977732301341,0.06342161995224949,0.06183792582014576,0.06508387560024857
derangement-04,local-chunk-derangement,discovery,4.319297720609872,0.07159426951105452,0.06949761775322258,0.0737419871846214
derangement-04,local-chunk-derangement,confirmation,4.20476078264641,0.06840507958524977,0.06675910678459332,0.07013761531561613
derangement-05,local-chunk-derangement,discovery,4.319375754101885,0.07167230300306748,0.06976508850930259,0.07369164830306545
derangement-05,local-chunk-derangement,confirmation,4.20541038214869,0.06905467908752971,0.06731080258032307,0.0708131883526221
derangement-06,local-chunk-derangement,discovery,4.319501167401773,0.07179771630295573,0.06974158105440438,0.07392780951922759
derangement-06,local-chunk-derangement,confirmation,4.205572262071328,0.06921655901016788,0.06747343718307093,0.07094167626928538
derangement-07,local-chunk-derangement,discovery,4.32084111337671,0.07313766227789298,0.07121946065453813,0.07504573164042085
derangement-07,local-chunk-derangement,confirmation,4.207787400000489,0.07143169693932894,0.06975938425166532,0.07314345862250775
derangement-08,local-chunk-derangement,discovery,4.317079046254983,0.0693755951561652,0.06752593651181087,0.0713043385068886
derangement-08,local-chunk-derangement,confirmation,4.202615823214355,0.06626012015319471,0.06460621382575482,0.0679393014172092
derangement-09,local-chunk-derangement,discovery,4.318273639399285,0.07057018830046768,0.06852449234575034,0.0727252853801474
